"job_id","job_title","salary_year_avg","company_name","skills"
1569433,"Data analyst SAS H/F","53014.0","Business & Decision","qlik"
411106,"Research Data Analyst","53014.0","Binance","sql"
411106,"Research Data Analyst","53014.0","Binance","python"
411106,"Research Data Analyst","53014.0","Binance","graphql"
1031967,"Ingénieur Industriel Data Analyst H/F","53014.0","ALTEN","tableau"
1031967,"Ingénieur Industriel Data Analyst H/F","53014.0","ALTEN","power bi"
1489183,"DATA ANALYST F/H","53014.0","RCA","airflow"
1090494,"HR Data Analyst (H/F)","53014.0","Believe","azure"
10881,"Data Analyste (H/F)","53014.0","UFF","tableau"
23234,"Data Quality Analyst","56700.0","Foxintelligence","sql"
23234,"Data Quality Analyst","56700.0","Foxintelligence","python"
23234,"Data Quality Analyst","56700.0","Foxintelligence","r"
23234,"Data Quality Analyst","56700.0","Foxintelligence","tableau"
1158867,"NLP - Natural Language Processing Engineer (H/F)","56700.0","SYSTRAN","python"
1158867,"NLP - Natural Language Processing Engineer (H/F)","56700.0","SYSTRAN","perl"
531608,"Data Quality Analyst - Stage","56700.0","Foxintelligence","sql"
531608,"Data Quality Analyst - Stage","56700.0","Foxintelligence","python"
531608,"Data Quality Analyst - Stage","56700.0","Foxintelligence","tableau"
201585,"Stage- Consultant Big Data et Analytics- Aérospatial- Toulouse","56700.0","Sopra Steria","sql"
201585,"Stage- Consultant Big Data et Analytics- Aérospatial- Toulouse","56700.0","Sopra Steria","pyspark"
201585,"Stage- Consultant Big Data et Analytics- Aérospatial- Toulouse","56700.0","Sopra Steria","chef"
236976,"Data Operations Specialist","56700.0","NielsenIQ","excel"
186581,"Alternance Consultant(e) Data Analytics - H/F","56700.0","Talan","sql"
186581,"Alternance Consultant(e) Data Analytics - H/F","56700.0","Talan","scala"
186581,"Alternance Consultant(e) Data Analytics - H/F","56700.0","Talan","sql server"
186581,"Alternance Consultant(e) Data Analytics - H/F","56700.0","Talan","azure"
186581,"Alternance Consultant(e) Data Analytics - H/F","56700.0","Talan","aws"
186581,"Alternance Consultant(e) Data Analytics - H/F","56700.0","Talan","oracle"
186581,"Alternance Consultant(e) Data Analytics - H/F","56700.0","Talan","spark"
186581,"Alternance Consultant(e) Data Analytics - H/F","56700.0","Talan","tableau"
186581,"Alternance Consultant(e) Data Analytics - H/F","56700.0","Talan","power bi"
186581,"Alternance Consultant(e) Data Analytics - H/F","56700.0","Talan","ssis"
1676837,"Junior Data Analyst (W/M/NB)","57500.0","Ubisoft","sql"
1676837,"Junior Data Analyst (W/M/NB)","57500.0","Ubisoft","python"
1676837,"Junior Data Analyst (W/M/NB)","57500.0","Ubisoft","spark"
1676837,"Junior Data Analyst (W/M/NB)","57500.0","Ubisoft","pyspark"
1676837,"Junior Data Analyst (W/M/NB)","57500.0","Ubisoft","airflow"
1676837,"Junior Data Analyst (W/M/NB)","57500.0","Ubisoft","hadoop"
1676837,"Junior Data Analyst (W/M/NB)","57500.0","Ubisoft","jupyter"
1676837,"Junior Data Analyst (W/M/NB)","57500.0","Ubisoft","express"
1676837,"Junior Data Analyst (W/M/NB)","57500.0","Ubisoft","tableau"
218956,"Data Analyst (Genshin Impact) - Fresh Grad","57500.0","HoYoverse","sql"
218956,"Data Analyst (Genshin Impact) - Fresh Grad","57500.0","HoYoverse","python"
218956,"Data Analyst (Genshin Impact) - Fresh Grad","57500.0","HoYoverse","sas"
218956,"Data Analyst (Genshin Impact) - Fresh Grad","57500.0","HoYoverse","excel"
218956,"Data Analyst (Genshin Impact) - Fresh Grad","57500.0","HoYoverse","sas"
218956,"Data Analyst (Genshin Impact) - Fresh Grad","57500.0","HoYoverse","spss"
1117141,"Data Analyst","57500.0","Assembly","sql"
1117141,"Data Analyst","57500.0","Assembly","assembly"
1117141,"Data Analyst","57500.0","Assembly","tableau"
1117141,"Data Analyst","57500.0","Assembly","looker"
1117141,"Data Analyst","57500.0","Assembly","sheets"
1159759,"Junior Data Analyst","57500.0","HoYoverse","sql"
1159759,"Junior Data Analyst","57500.0","HoYoverse","python"
1159759,"Junior Data Analyst","57500.0","HoYoverse","vba"
1159759,"Junior Data Analyst","57500.0","HoYoverse","tableau"
1625663,"Instructor- Data Analytics","63000.0","SAIT","python"
1625663,"Instructor- Data Analytics","63000.0","SAIT","c"
291435,"Manager, Data Analytics & Reporting","63000.0","Vialto Partners","excel"
291435,"Manager, Data Analytics & Reporting","63000.0","Vialto Partners","alteryx"
553703,"Associate Business Intelligence Analyst","64600.0","Manulife","sql"
553703,"Associate Business Intelligence Analyst","64600.0","Manulife","power bi"
1480395,"Power BI Engineer","65000.0","LTIMindtree","sql"
1480395,"Power BI Engineer","65000.0","LTIMindtree","power bi"
139994,"Procurement Data Analyst","70500.0","KBR, Inc.","vba"
139994,"Procurement Data Analyst","70500.0","KBR, Inc.","power bi"
1569065,"Business Intelligence Analyst","73500.0","Manulife","sql"
1569065,"Business Intelligence Analyst","73500.0","Manulife","power bi"
536017,"ILI Inspection Data Analyst III","75000.0","Jobot","sql"
536017,"ILI Inspection Data Analyst III","75000.0","Jobot","python"
536017,"ILI Inspection Data Analyst III","75000.0","Jobot","excel"
536017,"ILI Inspection Data Analyst III","75000.0","Jobot","tableau"
536017,"ILI Inspection Data Analyst III","75000.0","Jobot","power bi"
250656,"Consultant(e) Data Analytics - H/F","80850.0","Talan","scala"
250656,"Consultant(e) Data Analytics - H/F","80850.0","Talan","azure"
250656,"Consultant(e) Data Analytics - H/F","80850.0","Talan","aws"
250656,"Consultant(e) Data Analytics - H/F","80850.0","Talan","redshift"
250656,"Consultant(e) Data Analytics - H/F","80850.0","Talan","snowflake"
250656,"Consultant(e) Data Analytics - H/F","80850.0","Talan","gcp"
250656,"Consultant(e) Data Analytics - H/F","80850.0","Talan","spark"
250656,"Consultant(e) Data Analytics - H/F","80850.0","Talan","hadoop"
250656,"Consultant(e) Data Analytics - H/F","80850.0","Talan","kafka"
250656,"Consultant(e) Data Analytics - H/F","80850.0","Talan","tableau"
250656,"Consultant(e) Data Analytics - H/F","80850.0","Talan","power bi"
250656,"Consultant(e) Data Analytics - H/F","80850.0","Talan","kubernetes"
